,isbn13,isbn10,title,subtitle,authors,categories,thumbnail,description,published_year,average_rating,num_pages,ratings_count
3054,9780451528018,0451528018,The Hound of the Baskervilles,,Arthur Conan Doyle,Fiction,http://books.google.com/books/content?id=VM5J5_0wW8AC&printsec=frontcover&img=1&zoom=1&source=gbs_api,Sir Charles Baskerville's sudden heart attack and death have the townspeople in shock and searching for the one to blame--the family dog--while Sherlock Holmes leads the investigation.,2001.0,4.1,256.0,178632.0
3058,9780451528551,0451528557,The Time Machine,,Herbert George Wells,Fiction,http://books.google.com/books/content?id=QheiKTNdrQoC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"A classic novel of the future follows the Time Traveller as he hurtles one million years into the future and encounters a world populated by two distinct races, the childlike Eloi and the disgusting Morlocks who prey on the Eloi. Reprint.",2002.0,3.88,118.0,320900.0
3061,9780451528827,0451528824,Anne of Green Gables,,Lucy Maud Montgomery,Fiction,http://books.google.com/books/content?id=n92H8Sb-tKgC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Everyone's favorite redhead, the spunky Anne Shirley, begins her adventures at Green Gables, a farm outside Avonlea, Prince Edward Island. When the freckled girl realizes that the elderly Cuthberts wanted to adopt a boy instead, she begins to try to win them?and, consequently, the reader?over.",2003.0,4.24,320.0,583568.0
3105,9780452287068,0452287065,The Bluest Eye,,Toni Morrison,Fiction,http://books.google.com/books/content?id=-f5TPgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"To commemorate Morrison's winning the Nobel Prize for Literature, Knopf here republishes her full canon of novels. This edition of ""The Bluest Eye"" (1970) contains a new afterword by the author.",2005.0,4.01,216.0,121960.0
3470,9780553380958,0553380958,Snow Crash,,Neal Stephenson,Fiction,http://books.google.com/books/content?id=mqpvVydYo-8C&printsec=frontcover&img=1&zoom=1&source=gbs_api,"In twenty-first-century America, a teenaged computer hacker finds himself fighting a computer virus that battles virtual reality technology and a deadly drug that turns humans into zombies.",2000.0,4.03,438.0,187493.0
3477,9780553381542,0553381547,The Prince of Tides,,Pat Conroy,Fiction,http://books.google.com/books/content?id=WOYztK9oEzEC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Interweaves the events of Tom Wingo's summer in New York and his relationship to Susan Lowenstein, his sister Savannah's beautiful psychiatrist, and the complex history of the South Carolinian Wingo family, from World War II through Vietnam. Reprint.",2002.0,4.24,679.0,173886.0
3478,9780553381696,0553381695,A Clash of Kings,,George R. R. Martin,Fiction,http://books.google.com/books/content?id=NnE07xtwhqYC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"With his estate divided and his family scattered, Lord Eddard Stark returns to his territory to fight an ancient spell that is slowly devouring what is left of his land. Reprint.",2002.0,4.41,969.0,599010.0
3481,9780553383041,0553383043,A Wizard of Earthsea,,Ursula K. Le Guin,Fiction,http://books.google.com/books/content?id=hwlCPgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,A boy grows to manhood while attempting to subdue the evil he unleashed on the world as an apprentice to the Master Wizard.,2004.0,4.0,183.0,182174.0
3534,9780553582024,055358202X,A Feast for Crows,,George R. R. Martin,Fiction,http://books.google.com/books/content?id=Uj6FDwAAQBAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"The uneasy peace that exists following the death of Robb Stark is threatened by new plots, intrigues, and alliances that once again will plunge the Seven Kingdoms into all-out war for control of the Iron Throne.",2006.0,4.13,1061.0,491147.0
3564,9780553803709,0553803700,"I, Robot",,Isaac Asimov,Fiction,http://books.google.com/books/content?id=QEhWPgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,The development of robot technology to a state of perfection by future civilizations is explored in nine science fiction stories.,2004.0,4.19,224.0,225145.0
